,Temperature,Sound,Heartbeat,X1,Y1,Z1,X2,Y2,Z2,Classification,Feedback
1014,-1.0,1.0,56.0,-1.0,-1.0,-1.0,860.0,-7664.0,-15508.0,200.0,Fear
1015,34.0,1.0,56.0,-1568.0,-16416.0,740.0,836.0,-7716.0,-15432.0,200.0,Sad
1016,34.0,-1.0,56.0,-1652.0,-16320.0,836.0,-1.0,-1.0,-1.0,200.0,Sad
1017,-1.0,1.0,56.0,-1.0,-1.0,-1.0,824.0,-7544.0,-15484.0,200.0,Sad
1018,34.0,-1.0,56.0,-1552.0,-16560.0,820.0,-1.0,-1.0,-1.0,200.0,Sad
1019,-1.0,1.0,56.0,-1.0,-1.0,-1.0,808.0,-7704.0,-15596.0,200.0,Sad
1020,34.0,1.0,56.0,-1720.0,-16476.0,832.0,808.0,-7644.0,-15440.0,250.0,Sad
1021,34.0,-1.0,56.0,-1632.0,-16516.0,680.0,-1.0,-1.0,-1.0,250.0,Sad
1022,34.0,1.0,56.0,-1616.0,-16432.0,924.0,744.0,-7652.0,-15648.0,250.0,Sad
1023,34.0,-1.0,56.0,-1696.0,-16528.0,800.0,-1.0,-1.0,-1.0,250.0,Sad
1024,34.0,1.0,56.0,-1624.0,-16440.0,1012.0,836.0,-7680.0,-15560.0,250.0,Sad
1025,34.0,-1.0,56.0,-1660.0,-16484.0,988.0,-1.0,-1.0,-1.0,250.0,Sad
1026,34.0,1.0,56.0,-1.0,-1.0,-1.0,836.0,-7680.0,-15400.0,250.0,Sad
1027,-1.0,-1.0,56.0,-1604.0,-16488.0,900.0,-1.0,-1.0,-1.0,250.0,Sad
1028,34.0,1.0,56.0,-1636.0,-16472.0,908.0,856.0,-7612.0,-15384.0,250.0,Sad
1029,34.0,1.0,60.0,-1468.0,-16416.0,948.0,848.0,-7684.0,-15432.0,250.0,Sad
1030,34.0,1.0,60.0,-1648.0,-16420.0,896.0,724.0,-7712.0,-15428.0,250.0,Sad
1031,34.0,-1.0,60.0,-1732.0,-16492.0,824.0,-1.0,-1.0,-1.0,250.0,Sad
1032,34.0,1.0,60.0,-1664.0,-16556.0,900.0,748.0,-7708.0,-15492.0,250.0,Sad
1033,34.0,1.0,60.0,-1716.0,-16516.0,812.0,812.0,-7696.0,-15568.0,250.0,Sad
1034,34.0,1.0,60.0,-1580.0,-16388.0,1012.0,896.0,-7720.0,-15672.0,250.0,Sad
1035,34.0,1.0,60.0,-1592.0,-16472.0,924.0,752.0,-7584.0,-15484.0,250.0,Sad
1036,34.0,-1.0,60.0,-1524.0,-16452.0,936.0,-1.0,-1.0,-1.0,250.0,Sad
1037,34.0,1.0,60.0,-1768.0,-16556.0,840.0,824.0,-7676.0,-15484.0,250.0,Sad
1038,-1.0,1.0,60.0,-1.0,-1.0,-1.0,828.0,-7700.0,-15448.0,250.0,Sad
1039,34.0,-1.0,60.0,-1728.0,-16380.0,848.0,-1.0,-1.0,-1.0,250.0,Sad
1040,33.0,1.0,48.0,-1508.0,-16468.0,1000.0,1336.0,-8932.0,-14696.0,100.0,Happy
1041,33.0,1.0,48.0,-1560.0,-16436.0,844.0,1084.0,-8932.0,-14912.0,100.0,Happy
